"solute","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.174e+19,1,0.003312,0.003312,0.1145,0
2.1705e+19,1,0.003316,0.003316,0.1145,0
2.167e+19,1,0.00332,0.00332,0.1145,0
2.1635e+19,1,0.003324,0.003324,0.1145,0
2.16e+19,1,0.003328,0.003328,0.1145,0
2.1565e+19,1,0.003332,0.003332,0.1145,0
2.153e+19,1,0.003336,0.003336,0.1145,0
2.1494e+19,1,0.00334,0.00334,0.1145,0
2.1459e+19,1,0.003344,0.003344,0.1145,0
2.1423e+19,1,0.003348,0.003348,0.1145,0
2.1388e+19,1,0.003352,0.003352,0.1145,0
2.1353e+19,1,0.003356,0.003356,0.1145,0
2.1318e+19,1,0.00336,0.00336,0.1145,0
2.1283e+19,1,0.003364,0.003364,0.1145,0
2.1247e+19,1,0.003368,0.003368,0.1145,0
2.1212e+19,1,0.003372,0.003372,0.1145,0
2.1177e+19,1,0.003376,0.003376,0.1145,0
2.1142e+19,1,0.00338,0.00338,0.1145,0
2.1107e+19,1,0.003384,0.003384,0.1145,0
2.1071e+19,1,0.003388,0.003388,0.1145,0
2.1036e+19,1,0.003392,0.003392,0.1145,0
2.1001e+19,1,0.003396,0.003396,0.1145,0
2.0966e+19,1,0.0034,0.0034,0.1145,0
2.0931e+19,1,0.003404,0.003404,0.1145,0
2.0895e+19,1,0.003408,0.003408,0.1145,0
2.086e+19,1,0.003412,0.003412,0.1145,0
2.0825e+19,1,0.003416,0.003416,0.1145,0
2.079e+19,1,0.00342,0.00342,0.1145,0
2.0755e+19,1,0.003424,0.003424,0.1145,0
2.072e+19,1,0.003428,0.003428,0.1145,0
2.0685e+19,1,0.003432,0.003432,0.1145,0
2.065e+19,1,0.003436,0.003436,0.1145,0
2.0615e+19,1,0.00344,0.00344,0.1145,0
2.058e+19,1,0.003444,0.003444,0.1145,0
2.0546e+19,1,0.003448,0.003448,0.1145,0
2.0511e+19,1,0.003452,0.003452,0.1145,0
2.0476e+19,1,0.003456,0.003456,0.1145,0
2.0441e+19,1,0.00346,0.00346,0.1145,0
2.0406e+19,1,0.003464,0.003464,0.1145,0
2.0371e+19,1,0.003468,0.003468,0.1145,0
2.0337e+19,1,0.003472,0.003472,0.1145,0
2.0302e+19,1,0.003476,0.003476,0.1145,0
2.0267e+19,1,0.00348,0.00348,0.1145,0
2.0232e+19,1,0.003484,0.003484,0.1145,0
2.0197e+19,1,0.003488,0.003488,0.1145,0
2.0162e+19,1,0.003492,0.003492,0.1145,0
2.0128e+19,1,0.003496,0.003496,0.1145,0
2.0093e+19,1,0.0035,0.0035,0.1145,0
2.0058e+19,1,0.003504,0.003504,0.1145,0
2.0024e+19,1,0.003508,0.003508,0.1145,0
1.9989e+19,1,0.003512,0.003512,0.1145,0
1.9954e+19,1,0.003516,0.003516,0.1145,0
1.9919e+19,1,0.00352,0.00352,0.1145,0
1.9885e+19,1,0.003524,0.003524,0.1145,0
1.985e+19,1,0.003528,0.003528,0.1145,0
1.9815e+19,1,0.003532,0.003532,0.1145,0
1.978e+19,1,0.003536,0.003536,0.1145,0
1.9745e+19,1,0.00354,0.00354,0.1145,0
1.971e+19,1,0.003544,0.003544,0.1145,0
1.9675e+19,1,0.003548,0.003548,0.1145,0
1.964e+19,1,0.003552,0.003552,0.1145,0
1.9605e+19,1,0.003556,0.003556,0.1145,0
1.9569e+19,1,0.00356,0.00356,0.1145,0
1.9534e+19,1,0.003564,0.003564,0.1145,0
1.95e+19,1,0.003568,0.003568,0.1145,0
1.9465e+19,1,0.003572,0.003572,0.1145,0
1.9431e+19,1,0.003576,0.003576,0.1145,0
1.9396e+19,1,0.00358,0.00358,0.1145,0
1.9361e+19,1,0.003584,0.003584,0.1145,0
1.9327e+19,1,0.003588,0.003588,0.1145,0
1.9292e+19,1,0.003592,0.003592,0.1145,0
1.9257e+19,1,0.003596,0.003596,0.1145,0
1.9223e+19,1,0.0036,0.0036,0.1145,0
1.9188e+19,1,0.003604,0.003604,0.1145,0
1.9154e+19,1,0.003608,0.003608,0.1145,0
1.9119e+19,1,0.003612,0.003612,0.1145,0
1.9084e+19,1,0.003616,0.003616,0.1145,0
1.905e+19,1,0.00362,0.00362,0.1145,0
1.9015e+19,1,0.003624,0.003624,0.1145,0
1.898e+19,1,0.003628,0.003628,0.1145,0
1.8946e+19,1,0.003632,0.003632,0.1145,0
1.8911e+19,1,0.003636,0.003636,0.1145,0
1.8876e+19,1,0.00364,0.00364,0.1145,0
