"solute","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.2528e+22,1,0.0008525,0.031852,0.1145,0
1.2525e+22,1,0.000858,0.031858,0.1145,0
1.2523e+22,1,0.0008635,0.031863,0.1145,0
1.252e+22,1,0.000869,0.031869,0.1145,0
1.2517e+22,1,0.0008745,0.031875,0.1145,0
1.2514e+22,1,0.00088,0.03188,0.1145,0
1.2511e+22,1,0.0008855,0.031886,0.1145,0
1.2509e+22,1,0.000891,0.031891,0.1145,0
1.2506e+22,1,0.0008965,0.031897,0.1145,0
1.2503e+22,1,0.000902,0.031902,0.1145,0
1.25e+22,1,0.0009075,0.031907,0.1145,0
1.2497e+22,1,0.000913,0.031913,0.1145,0
1.2494e+22,1,0.0009185,0.031918,0.1145,0
1.2491e+22,1,0.000924,0.031924,0.1145,0
1.2487e+22,1,0.0009295,0.03193,0.1145,0
1.2484e+22,1,0.000935,0.031935,0.1145,0
1.248e+22,1,0.0009405,0.031941,0.1145,0
1.2477e+22,1,0.000946,0.031946,0.1145,0
1.2473e+22,1,0.0009515,0.031951,0.1145,0
1.2469e+22,1,0.000957,0.031957,0.1145,0
1.2466e+22,1,0.0009625,0.031962,0.1145,0
1.2462e+22,1,0.000968,0.031968,0.1145,0
1.2459e+22,1,0.0009735,0.031973,0.1145,0
1.2455e+22,1,0.000979,0.031979,0.1145,0
1.2452e+22,1,0.0009845,0.031985,0.1145,0
1.2448e+22,1,0.00099,0.03199,0.1145,0
1.2445e+22,1,0.0009955,0.031996,0.1145,0
1.2441e+22,1,0.001001,0.032001,0.1145,0
1.2438e+22,1,0.0010065,0.032006,0.1145,0
1.2434e+22,1,0.001012,0.032012,0.1145,0
1.2431e+22,1,0.0010175,0.032017,0.1145,0
1.2427e+22,1,0.001023,0.032023,0.1145,0
1.2424e+22,1,0.0010285,0.032028,0.1145,0
1.242e+22,1,0.001034,0.032034,0.1145,0
1.2417e+22,1,0.0010395,0.03204,0.1145,0
1.2413e+22,1,0.001045,0.032045,0.1145,0
1.241e+22,1,0.0010505,0.032051,0.1145,0
1.2406e+22,1,0.001056,0.032056,0.1145,0
1.2403e+22,1,0.0010615,0.032061,0.1145,0
1.2399e+22,1,0.001067,0.032067,0.1145,0
1.2396e+22,1,0.0010725,0.032072,0.1145,0
1.2392e+22,1,0.001078,0.032078,0.1145,0
1.2389e+22,1,0.0010835,0.032084,0.1145,0
1.2385e+22,1,0.001089,0.032089,0.1145,0
1.2381e+22,1,0.0010945,0.032095,0.1145,0
1.2378e+22,1,0.0011,0.0321,0.1145,0
