"retention","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.1687e+21,1,0.001712,0.001712,0.066032,0
1.1533e+21,1,0.001716,0.001716,0.066032,0
1.1379e+21,1,0.00172,0.00172,0.066032,0
1.1225e+21,1,0.001724,0.001724,0.066032,0
1.1071e+21,1,0.001728,0.001728,0.066032,0
1.0918e+21,1,0.001732,0.001732,0.066032,0
1.0764e+21,1,0.001736,0.001736,0.066032,0
1.061e+21,1,0.00174,0.00174,0.066032,0
1.0455e+21,1,0.001744,0.001744,0.066032,0
1.0299e+21,1,0.001748,0.001748,0.066032,0
1.0144e+21,1,0.001752,0.001752,0.066032,0
9.9879e+20,1,0.001756,0.001756,0.066032,0
9.8322e+20,1,0.00176,0.00176,0.066032,0
9.6764e+20,1,0.001764,0.001764,0.066032,0
9.5207e+20,1,0.001768,0.001768,0.066032,0
9.3649e+20,1,0.001772,0.001772,0.066032,0
9.2092e+20,1,0.001776,0.001776,0.066032,0
9.0534e+20,1,0.00178,0.00178,0.066032,0
8.8977e+20,1,0.001784,0.001784,0.066032,0
8.7419e+20,1,0.001788,0.001788,0.066032,0
8.5862e+20,1,0.001792,0.001792,0.066032,0
8.4304e+20,1,0.001796,0.001796,0.066032,0
8.2747e+20,1,0.0018,0.0018,0.066032,0
8.1189e+20,1,0.001804,0.001804,0.066032,0
7.9631e+20,1,0.001808,0.001808,0.066032,0
7.8076e+20,1,0.001812,0.001812,0.066032,0
7.652e+20,1,0.001816,0.001816,0.066032,0
7.4964e+20,1,0.00182,0.00182,0.066032,0
7.3408e+20,1,0.001824,0.001824,0.066032,0
7.1853e+20,1,0.001828,0.001828,0.066032,0
7.0297e+20,1,0.001832,0.001832,0.066032,0
6.8741e+20,1,0.001836,0.001836,0.066032,0
6.7185e+20,1,0.00184,0.00184,0.066032,0
6.5629e+20,1,0.001844,0.001844,0.066032,0
6.4074e+20,1,0.001848,0.001848,0.066032,0
6.2518e+20,1,0.001852,0.001852,0.066032,0
6.0962e+20,1,0.001856,0.001856,0.066032,0
5.9406e+20,1,0.00186,0.00186,0.066032,0
5.785e+20,1,0.001864,0.001864,0.066032,0
5.6295e+20,1,0.001868,0.001868,0.066032,0
5.4739e+20,1,0.001872,0.001872,0.066032,0
5.317e+20,1,0.001876,0.001876,0.066032,0
5.1597e+20,1,0.00188,0.00188,0.066032,0
5.0024e+20,1,0.001884,0.001884,0.066032,0
4.8451e+20,1,0.001888,0.001888,0.066032,0
4.6877e+20,1,0.001892,0.001892,0.066032,0
4.5304e+20,1,0.001896,0.001896,0.066032,0
4.3731e+20,1,0.0019,0.0019,0.066032,0
4.2158e+20,1,0.001904,0.001904,0.066032,0
4.0585e+20,1,0.001908,0.001908,0.066032,0
3.9011e+20,1,0.001912,0.001912,0.066032,0
3.7438e+20,1,0.001916,0.001916,0.066032,0
3.5865e+20,1,0.00192,0.00192,0.066032,0
3.4292e+20,1,0.001924,0.001924,0.066032,0
3.2719e+20,1,0.001928,0.001928,0.066032,0
3.1145e+20,1,0.001932,0.001932,0.066032,0
2.9572e+20,1,0.001936,0.001936,0.066032,0
2.8001e+20,1,0.00194,0.00194,0.066032,0
2.6429e+20,1,0.001944,0.001944,0.066032,0
2.4858e+20,1,0.001948,0.001948,0.066032,0
2.3287e+20,1,0.001952,0.001952,0.066032,0
2.1716e+20,1,0.001956,0.001956,0.066032,0
2.0145e+20,1,0.00196,0.00196,0.066032,0
