"retention","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
4.0777e+14,1,0.002176,0.002176,0.1145,0
4.0787e+14,1,0.00218,0.00218,0.1145,0
4.0798e+14,1,0.002184,0.002184,0.1145,0
4.0809e+14,1,0.002188,0.002188,0.1145,0
4.082e+14,1,0.002192,0.002192,0.1145,0
4.083e+14,1,0.002196,0.002196,0.1145,0
4.0843e+14,1,0.0022,0.0022,0.1145,0
4.0857e+14,1,0.002204,0.002204,0.1145,0
4.087e+14,1,0.002208,0.002208,0.1145,0
4.0884e+14,1,0.002212,0.002212,0.1145,0
4.0898e+14,1,0.002216,0.002216,0.1145,0
4.0911e+14,1,0.00222,0.00222,0.1145,0
4.0925e+14,1,0.002224,0.002224,0.1145,0
4.0938e+14,1,0.002228,0.002228,0.1145,0
4.0952e+14,1,0.002232,0.002232,0.1145,0
4.0966e+14,1,0.002236,0.002236,0.1145,0
4.0979e+14,1,0.00224,0.00224,0.1145,0
4.0993e+14,1,0.002244,0.002244,0.1145,0
4.1007e+14,1,0.002248,0.002248,0.1145,0
4.102e+14,1,0.002252,0.002252,0.1145,0
4.1027e+14,1,0.002256,0.002256,0.1145,0
4.1039e+14,1,0.00226,0.00226,0.1145,0
4.1052e+14,1,0.002264,0.002264,0.1145,0
4.1065e+14,1,0.002268,0.002268,0.1145,0
4.1078e+14,1,0.002272,0.002272,0.1145,0
4.1091e+14,1,0.002276,0.002276,0.1145,0
4.1104e+14,1,0.00228,0.00228,0.1145,0
4.1117e+14,1,0.002284,0.002284,0.1145,0
4.113e+14,1,0.002288,0.002288,0.1145,0
4.1143e+14,1,0.002292,0.002292,0.1145,0
4.1156e+14,1,0.002296,0.002296,0.1145,0
4.1169e+14,1,0.0023,0.0023,0.1145,0
4.1182e+14,1,0.002304,0.002304,0.1145,0
4.1195e+14,1,0.002308,0.002308,0.1145,0
4.1208e+14,1,0.002312,0.002312,0.1145,0
4.1223e+14,1,0.002316,0.002316,0.1145,0
4.1241e+14,1,0.00232,0.00232,0.1145,0
4.1259e+14,1,0.002324,0.002324,0.1145,0
4.1277e+14,1,0.002328,0.002328,0.1145,0
4.1295e+14,1,0.002332,0.002332,0.1145,0
4.1313e+14,1,0.002336,0.002336,0.1145,0
4.133e+14,1,0.00234,0.00234,0.1145,0
4.1348e+14,1,0.002344,0.002344,0.1145,0
4.1366e+14,1,0.002348,0.002348,0.1145,0
4.1384e+14,1,0.002352,0.002352,0.1145,0
4.1402e+14,1,0.002356,0.002356,0.1145,0
4.142e+14,1,0.00236,0.00236,0.1145,0
4.1437e+14,1,0.002364,0.002364,0.1145,0
4.1455e+14,1,0.002368,0.002368,0.1145,0
4.1473e+14,1,0.002372,0.002372,0.1145,0
4.1491e+14,1,0.002376,0.002376,0.1145,0
4.1509e+14,1,0.00238,0.00238,0.1145,0
4.1527e+14,1,0.002384,0.002384,0.1145,0
4.1544e+14,1,0.002388,0.002388,0.1145,0
4.1569e+14,1,0.002392,0.002392,0.1145,0
4.1587e+14,1,0.002396,0.002396,0.1145,0
4.1604e+14,1,0.0024,0.0024,0.1145,0
4.1622e+14,1,0.002404,0.002404,0.1145,0
4.164e+14,1,0.002408,0.002408,0.1145,0
4.1657e+14,1,0.002412,0.002412,0.1145,0
4.1675e+14,1,0.002416,0.002416,0.1145,0
4.1693e+14,1,0.00242,0.00242,0.1145,0
4.171e+14,1,0.002424,0.002424,0.1145,0
4.1728e+14,1,0.002428,0.002428,0.1145,0
4.1746e+14,1,0.002432,0.002432,0.1145,0
4.1763e+14,1,0.002436,0.002436,0.1145,0
4.1781e+14,1,0.00244,0.00244,0.1145,0
4.1799e+14,1,0.002444,0.002444,0.1145,0
4.1817e+14,1,0.002448,0.002448,0.1145,0
4.1834e+14,1,0.002452,0.002452,0.1145,0
4.1852e+14,1,0.002456,0.002456,0.1145,0
4.1871e+14,1,0.00246,0.00246,0.1145,0
4.189e+14,1,0.002464,0.002464,0.1145,0
4.191e+14,1,0.002468,0.002468,0.1145,0
4.193e+14,1,0.002472,0.002472,0.1145,0
4.195e+14,1,0.002476,0.002476,0.1145,0
4.197e+14,1,0.00248,0.00248,0.1145,0
4.199e+14,1,0.002484,0.002484,0.1145,0
4.201e+14,1,0.002488,0.002488,0.1145,0
4.2029e+14,1,0.002492,0.002492,0.1145,0
4.2049e+14,1,0.002496,0.002496,0.1145,0
4.2069e+14,1,0.0025,0.0025,0.1145,0
4.2089e+14,1,0.002504,0.002504,0.1145,0
4.2109e+14,1,0.002508,0.002508,0.1145,0
4.2129e+14,1,0.002512,0.002512,0.1145,0
4.2149e+14,1,0.002516,0.002516,0.1145,0
4.2168e+14,1,0.00252,0.00252,0.1145,0
4.2181e+14,1,0.002524,0.002524,0.1145,0
4.22e+14,1,0.002528,0.002528,0.1145,0
4.222e+14,1,0.002532,0.002532,0.1145,0
4.224e+14,1,0.002536,0.002536,0.1145,0
4.2259e+14,1,0.00254,0.00254,0.1145,0
4.2279e+14,1,0.002544,0.002544,0.1145,0
4.2299e+14,1,0.002548,0.002548,0.1145,0
4.2318e+14,1,0.002552,0.002552,0.1145,0
4.2338e+14,1,0.002556,0.002556,0.1145,0
4.2358e+14,1,0.00256,0.00256,0.1145,0
4.2377e+14,1,0.002564,0.002564,0.1145,0
4.2397e+14,1,0.002568,0.002568,0.1145,0
4.2417e+14,1,0.002572,0.002572,0.1145,0
4.2436e+14,1,0.002576,0.002576,0.1145,0
4.2456e+14,1,0.00258,0.00258,0.1145,0
4.2475e+14,1,0.002584,0.002584,0.1145,0
